"UserId","ProductId","Rating"
"A3BTN14HIZET6Z","7806397051",5
"A1KEESMVTONAGJ","9746427962",5
"A3LMILRM9OC3SA","9759091062",2
"A9MYCYZT8EMMX","9788071198",5
"AA394CGT3GNYH","9788071198",2
"A1QV5IH6HDRN0L","9788072216",5
"A2EK2CJNJUF7OQ","9788072216",5
"A2GWNGQF9SHRE4","9788072216",5
"ABV67T136UXFQ","9788072216",5
"A28GT8K15D0LIS","9790778309",5
"A2XKJ1KX6XUHYP","9790778309",1
"A32ZIX6JXPJX3O","9790781687",4
"A2FQZKL2KIZACO","9790790961",5
"A2H0VDRANZMGGX","9790790961",5
"A3TYR1ALBZ2EU9","9790790961",5
"A1ACH77RG6C8MN","B00004TMFE",2
"A2VOGNBUMXSW13","B00004TMFE",2
"A2X0X13NTPOZN1","B00004TMFE",4
"A38VDDNZ7A3QM0","B00004TMFE",5
"A8TWSBLUYJR0U","B00004TMFE",5
"AVM6OR01CPJNQ","B00004TMFE",2
"A1NEIH01B5X6QL","B00004TUBL",5
"A26869WFGMMZHM","B00004TUBL",5
"A2HRHF83I3NDGT","B00004TUBL",5
"A2RQOO8VYAEZZG","B00004TUBL",3
"AMB2Z4FMDBWQY","B00004TUBL",2
"A2P99LRDXBF8NF","B00004TUBV",4
"A3VOND2IXC3VET","B00004TUBV",4
"AMYBVJ1JP667H","B00004TUBV",5
"A14VNXS7M0JO5K","B00004U9UY",4
"A1J7CRZ4OJ1T2L","B00004U9UY",5
"A287547UH1VBJ7","B00004U9UY",4
"A2K3A3HA229ZVN","B00004U9UY",5
"A3AZI828WJN1CD","B00004U9UY",4
"A3S3R88HA0HZG3","B00004U9UY",5
"A3VU2J7G0U35AU","B00004U9UY",5
"ACUGBCEADYT6D","B00004U9UY",3
"ASXPNU896V9I8","B00004U9UY",5
"A3O0BXK3SZ6FE0","B00004U9V2",5
"A3VU2J7G0U35AU","B00004U9V2",5
"ACUGBCEADYT6D","B00004U9V2",3
"A17V9XL4CWTQ6G","B000050B6U",5
"A1EQL66CVJ80SP","B000050B6U",4
"A1H2M09FY6B9LR","B000050B6U",1
"A1SQW9H85UVYNU","B000050B6U",5
"A22CW0ZHY3NJH8","B000050B6U",2
"A27DNSEA1L04L2","B000050B6U",4
"A2K6LI89NAD2J2","B000050B6U",5
"A2RUV6V9CWZAA0","B000050B6U",3
"A2S6QCNNN8AK91","B000050B6U",5
"A33AQPJYH7UUXR","B000050B6U",3
"A3QOIDA6B2NIPO","B000050B6U",5
"A3T4OHEAHOJ700","B000050B6U",5
"A4NV7E4LLOYON","B000050B6U",5
"A4WX0FZ1MMAUH","B000050B6U",5
"AEEJGDRRGLBB1","B000050B6U",2
"AHP55PFHJL0H8","B000050B6U",2
"AR18PHLJDG19R","B000050B6U",4
